Data Block Size,Iterations,Scalar,Threads,Copy,Scale,Add,Triad
100,30,1,3,286.8,285.6,395.3,420
200,30,1,3,354.8,405.9,537.8,512.7
400,30,1,3,896.8,867.8,1164.9,1199.6
800,30,1,3,1422.8,1294.7,1830.2,1764.7
1600,30,1,3,1813.8,1572.1,2152.3,1413.2
3200,30,1,3,2063.6,1736.5,2420.2,2187.3
6400,30,1,3,2662.2,1505.8,2952.1,2660.3
12800,30,1,3,2749.1,2235.8,1924.2,2751.4
25600,30,1,3,2948,2323,3135.6,2873.8
51200,30,1,3,2258.1,2390.1,3191.5,2868.8
102400,30,1,3,3012,2388.4,3210.6,2866.2
204800,30,1,3,2803.3,2268.9,2915.4,2712.1
409600,30,1,3,2697.5,2291.9,2983.7,2751
819200,30,1,3,2844.5,2271.9,2958.9,2777.1
1638400,30,1,3,2830.8,2302.5,2950.9,2746.9
3276800,30,1,3,2822.2,2298,2986.5,2747.1
6553600,30,1,3,2797.2,2299.9,2958.8,2726
100,30,2,3,196.8,198.9,294.3,294.9
200,30,2,3,427,428.4,607,566.6
400,30,2,3,788.7,837.1,1276.9,1097.1
800,30,2,3,1416.5,1432.9,1985.1,1964.2
1600,30,2,3,1951.1,1822,2434.2,2208.3
3200,30,2,3,2621,2463.7,3511.5,3268.1
6400,30,2,3,807.6,3021.1,4393.6,4106.1
12800,30,2,3,4225.3,1179.3,5146.4,4347.1
25600,30,2,3,4398.7,3669.6,5143.7,4843.6
51200,30,2,3,4509.7,3810.7,5121.4,4804.8
102400,30,2,3,4843.6,3505.7,4720.8,4691.6
204800,30,2,3,3631.2,4021.6,4499.9,4338.8
409600,30,2,3,4221.8,3377,4181.8,4271.3
819200,30,2,3,4323.1,3519.8,4830.2,4477.3
1638400,30,2,3,4221.9,3999.4,4502.9,4142.3
3276800,30,2,3,4494.2,3754.7,4452.7,4172.2
6553600,30,2,3,4155.9,3709.9,4544,4362
100,30,3,3,122.3,108.4,158.9,151.8
200,30,3,3,242.3,229.8,354.2,378.4
400,30,3,3,491,484.5,757.3,789.5
800,30,3,3,997.3,402.6,1474,1390.1
1600,30,3,3,2110.9,1959.4,2814.1,2599.2
3200,30,3,3,2510.7,1763.6,3259.3,3120.3
6400,30,3,3,4163.1,3509,4739.4,4540.1
12800,30,3,3,4737.1,4003.4,5309,5022.7
25600,30,3,3,5096.9,2001.8,5437.4,5257.7
51200,30,3,3,5163.5,4366.3,5699.2,5411.4
102400,30,3,3,5254.6,3985,4427.6,5464.1
204800,30,3,3,5109.6,3888.4,5176.3,5012.8
409600,30,3,3,4646.8,4214.1,5241.2,4995.9
819200,30,3,3,5067.1,4345.4,5262.5,5296.2
1638400,30,3,3,5117.1,4292.5,5394.8,5309.4
3276800,30,3,3,5096.6,4363.2,5556.7,5310.7
6553600,30,3,3,5114.7,4381.1,5498.4,5307.1
100,30,4,3,87.8,88,129.6,128.5
200,30,4,3,165.7,159.8,239.6,235.2
400,30,4,3,328.4,330.7,476.9,497.9
800,30,4,3,673.6,679,1071.4,1061.9
1600,30,4,3,1470.2,1445.1,1541.6,2204.3
3200,30,4,3,2376.4,2401.2,3201,3212.7
6400,30,4,3,3877.5,3477.7,5030.5,4697.9
12800,30,4,3,5198.7,4536.1,6166,5778
25600,30,4,3,5784.5,5092.3,6737.8,6283.3
51200,30,4,3,6129.5,5316.9,6898,6620.9
102400,30,4,3,6170.7,5778,6271.9,6847.3
204800,30,4,3,5899.3,5287,5431.1,6077.6
409600,30,4,3,5309.9,5356.4,5773.2,6025.5
819200,30,4,3,6125.4,5328.5,6409.9,6244.3
1638400,30,4,3,5974.3,5570.7,6608.3,6528.4
3276800,30,4,3,6050.6,5568.8,6637.3,6528.4
6553600,30,4,3,6137.8,5549.7,6665.1,6595.1
